Rank	Team	Ranking Score	Avg Match	Avg Hangar	Avg Taxi + Auto Cargo	Record (W-L-T)	DQ	Played	Total Ranking Points*
1	1629	2.3	40.3	16.8	11.8	36740	0	10	23
2	1418	1.8	36.9	14	12.8	36710	0	10	18
3	5115	1.8	34.9	10.1	10.2	36710	0	10	18
4	4472	1.7	35.8	10.9	9.8	36710	0	10	17
5	4242	1.6	35.8	12.9	12.2	36681	0	10	16
6	1731	1.5	37.4	9.3	13.8	36710	0	10	15
7	614	1.5	34.6	11.6	10.8	36651	0	10	15
8	2912	1.4	31.8	8.1	10	36651	0	10	14
9	2537	1.3	31.6	9.5	10	5-5-2000	0	10	13
10	7770	1.3	31.2	12.3	10.2	5-5-2000	0	10	13
11	686	1.2	35	9.3	11.2	5-5-2000	0	10	12
12	5587	1.2	31.3	7.1	9.6	5-5-2000	0	10	12
13	8217	1	27.4	8.6	8.8	4-6-2000	0	10	10
14	4638	0.9	28.1	6.5	9.8	4-6-2000	0	10	9
15	6326	0.8	24.8	6.5	9	3-7-2000	0	10	8
16	6213	0.8	22.6	7.6	7.2	4-6-2000	0	10	8
17	3373	0.4	23.8	7	9.2	2-8-2000	0	10	4
18	5243	0.3	24.3	8.9	6.6	1-9-2000	0	10	3
1	2199	2.4	43.8	20.1	9.8	36770	0	10	24
2	1885	2.1	39.9	14.6	9	36740	0	10	21
3	1111	1.7	42.6	10.5	12.6	36710	0	10	17
4	623	1.7	29.7	14.2	6.2	36681	0	10	17
5	1599	1.6	39	16.6	7.8	36681	0	10	16
6	5549	1.5	28.3	11.4	8.4	36681	0	10	15
7	1727	1.4	34.3	8.7	9.6	36681	0	10	14
8	2534	1.3	30.6	11.8	7.8	36651	0	10	13
9	6504	1.3	25.9	10.2	6.4	5-5-2000	0	10	13
10	4456	1.2	25.9	15.1	5.2	4-6-2000	0	10	12
11	8230	1.1	32	12.3	7.2	4-6-2000	0	10	11
12	1123	1.1	25.6	8.8	7.2	4-6-2000	0	10	11
13	1719	1	26.7	8.2	8.2	4-6-2000	0	10	10
14	1389	1	24.3	12.7	6	4-6-2000	0	10	10
15	8590	0.9	22.9	7.8	5.4	4-6-2000	0	10	9
16	8197	0.9	20.6	6	6.4	4-6-2000	0	10	9
17	7886	0.8	22.2	6.3	5.2	3-7-2000	0	10	8
18	2186	0.7	24.5	9.1	6	3-7-2000	0	10	7
19	2998	0.6	17.2	4.5	4.8	3-5-2000	2	10	6
1	2363	2.6	64.7	11.5	19.2	37438	0	10	26
2	5724	2.3	51.5	14.1	15.2	37104	0	10	23
3	5804	2.2	49.6	18.3	13	37045	0	10	22
4	422	2	37.6	7.3	10.6	36739	1	10	20
5	6802	1.7	39.7	9.6	11.4	37015	0	10	17
6	1262	1.6	40.5	9.6	13.2	37015	0	10	16
7	1908	1.5	44.3	10.6	10.8	37045	0	10	15
8	977	1.3	37.8	13.7	10.2	37350	0	10	13
9	4286	1.3	30.3	12.3	7	5-4-2000	1	10	13
